country,industry,employee_count,incident_year,security_attribute,compromise_variety_1,confidentiality_state,data_type,confidence,data_disclosure,action,action_variety,action_vector,state_nonstate,asset_group,asset_variety_1,confidentiality_data_total,t_availability_duration_unit,t_discovery_unit,t_containment_unit,t_exfiltration_unit,t_compromise_unit,summary
United States,information telecom,101 to 1000,2013,integrity,alter behavior,unknown,org,medium,yes,hacking,use of stolen creds,web application,nonstate,people,helpdesk,,,,,,,DNS redirection part of Networks Solutions breach.
United States,information telecom,1 to 10,2018,confidentiality,data loss,stored,pii,high,yes,hacking,,web application,nonstate,server,web application,7600000.0,,,,,,"On 28th of December, BlankMediaGames, developer of online role-playing browser-based game Town of Salem was hacked that resulted in a massive data breach. Over 7 million user data, including but not limited to emails, passwords and IP addresses were leaked and compromised."
United States,retail trade,11 to 100,2008,integrity,fraudulent transaction,unknown,pii,,yes,misuse,privilege abuse,lan access,nonstate,,,,,years,,None,None,Collins worked at Woody's Pharmacy in New Tazewell at the time.  Agents found Collins submitted hundreds of fraudulent claims for prescription medications to Medicare and TennCare from May 2008 to May 2013
United States,finance and insurance,101 to 1000,2019,integrity,alter behavior,stored,phi,medium,yes,hacking,use of stolen creds,web application,nonstate,server,email,,,,,,,phishing compromises mulitple email accounts leading to disclosure of PHI and PII in those accounts
United States,healthcare,1001 to 10000,2012,confidentiality,data loss,unknown,phi,,yes,misuse,privilege abuse,lan access,nonstate,server,database,,,years,,None,None,Two employees who registered patients into emergency room at hospital provided their information to ambulance-chasing lawyers and others.
United States,information telecom,11 to 100,2014,confidentiality,data loss,stored,pii,high,yes,hacking,,web application,nonstate,server,web application,1700000.0,,years,,,,Online image sharing community Imgur notified users of a potential data breach which occurred in 2014 which affected 1.7 million accounts. Imgur said that email addresses and passwords might have been compromised. The company said that it got an email on November 23 by a security researcher and said that he had data that included information of Imgur users.
United Kingdom,healthcare,,2017,confidentiality,data loss,stored,pii,medium,yes,error,publishing error,carelessness,nonstate,server,web application,50.0,,,,,,"The names, emails, phone numbers and computer addresses of around 50 people across the country were obtainable on the website of the Scottish Appropriate Adult Network (SAAN)."
United Kingdom,government,,2013,confidentiality,data loss,stored unencrypted,,,yes,misuse,knowledge abuse,physical access,nonstate,media,documents,1.0,,,,,,"Lawyer discloses contents of draft judgement that was subject to embargo before the judgement is formally handed down.  The disclosure included his client, the family, the police, and the media."
United Kingdom,healthcare,,2018,confidentiality,data loss,stored,phi,high,yes,error,misdelivery,carelessness,nonstate,media,documents,258.0,,,,,,Anger after data of hundreds of patients at GP practice is sent out in post - Clare House Surgery
United States,healthcare,101 to 1000,2014,confidentiality,data loss,transmitted,phi,high,yes,error,misdelivery,carelessness,nonstate,media,documents,,,,,,,"New York City hospital center settles $387,200 HIPAA breach - The federal government in May settled a potential violation of the Health Insurance Portability and Accountability Act with a New York City hospital that reportedly disclosed sensitive health information to a patient’s employer.  St. Luke’s-Roosevelt Hospital Center paid $387,200 to settle the potential violations of the HIPAA Privacy Rule and agreed to implement a comprehensive corrective action plan, according to a news release from the Office for Civil Rights of the U.S. Department of Health & Human Services."
United States,finance and insurance,101 to 1000,2018,integrity,hardware tampering,,pii,medium,yes,physical,surveillance,victim public area,nonstate,terminal,atm,,,,,,minutes,Skimmers gonna skim
Canada,healthcare,101 to 1000,2016,integrity,fraudulent transaction,printed,pii,low,yes,misuse,possession abuse,physical access,nonstate,media,documents,,,months,,None,None,A Vancouver certified nursing assistant who stole tens of thousands of dollars from an elderly woman and hundreds more from a quadriplegic woman was sentenced Thursday to more than a year in prison.
United States,government,1001 to 10000,2013,confidentiality,data loss,stored,org,high,yes,misuse,knowledge abuse,,nonstate,,,,,,,hours,None,Police officer provided investigation information to an unauthorized 3rd party (a friend and city prosecutor).
United States,government,,2013,confidentiality,data loss,stored unencrypted,pii,,potentially,error,publishing error,carelessness,nonstate,server,,,,days,,,None,A file containing personal info of employee placed in server directory accessible to all employees.
Bangladesh,wholesale trade,,2013,integrity,modify data,,,,,hacking,,web application,nonstate,server,web application,,,,,,,"An Indian hacker that uses the online moniker Yamraaj has hacked the official website of Meghna Petroleum Limited, a subsidiary of the Bangladesh Petroleum Corporation (BPC) thats in charge of storing, distributing and marketing petroleum products in Bangladesh."
United States,education,101 to 1000,2013,confidentiality,data loss,stored unencrypted,pii,,yes,misuse,lan access,,nonstate,server,,2000.0,,months,hours,minutes,,"Middle school student accesses file that contained personal information of employees. During a data transfer process a folder was left ""open"" that made the file accessible to anyone on the school network."
United States,finance and insurance,10001 to 25000,2015,integrity,hardware tampering,stored,pii,medium,yes,physical,skimmer,public facility,nonstate,terminal,atm,4350.0,,,,years,years,"Queens men plead to ATM skimming rap - PNC, Bank of America "
United States,information telecom,101 to 1000,2013,confidentiality,data loss,stored unencrypted,pii,,potentially,error,,,nonstate,server,database,198000.0,,,,,,failed app has unsecure database with no one to contact
United States,entertainment,11 to 100,2014,confidentiality,data loss,stored unencrypted,pii,,yes,error,publishing error,carelessness,nonstate,network,wlan,1.0,,,,None,,CBS broadcasts the wifi SSID and Password being used by the Super Bowl physical security command center. CBS news posted a picture on Twitter of a computer screen where the password had been written down.
Japan,government,10001 to 25000,2012,availability,loss,unknown,ip,high,yes,hacking,,,state-affiliated,server,file,3000.0,,months,months,,,"Hackers Steal 3,000 Classified Japanese Government Documents  Several of the confidential documents were related to negotiations over the TPP free trade agreement. By Jeff Goldman  |  Posted January 04, 2013 Share                                   A recent cyber attack on Japan's Ministry of Agriculture, Forestry and Fisheries apparently resulted in the theft of more than 3,000 classified documents, including several related to negotiations over the Trans-Pacific Partnership (TPP) free trade agreement.  ""The stolen documents are suspected to be internal ministry materials created just before the Asia-Pacific Economic Cooperation (APEC) summit on November 2011 and before a Japan-U.S. meeting concerning the TPP on April 2012,"" writes The Japan Daily Press' Ida Torres. ""One document contained a draft statement to be issued by then Prime Minister Yoshihiko Noda and U.S. President Barack Obama regarding the TPP. More than 20 of the files believed to be stolen are highly confidential documents related to Japans roadmap for participating in the TPP talks as well as analysis of the consequences of delaying a decision to join it.""  ""The attack on the Japanese Ministry apparently involved a remotely operated trojan along with a connection bouncer called 'HTran,'"" writes PCMag.com's Max Eddy. ""Dell's SecureWorks has looked at HTran before, and believe it was originally created by a Chinese hacker to conceal the location of command and control servers and 'redirect TCP traffic destined for one host to an alternate host.'""  ""The National Information Security Center of the Cabinet Secretariat discovered about one year ago that suspicious transmissions involving HTran had occurred at the ministry,"" The Daily Yomiuri reports. ""An information security expert said HTran is often used in cyber-attacks to steal information, as it can send data secretly. The program was also used to steal data from the Finance Ministry, as HTran data transmissions were discovered to have taken place from October 2010 to November 2011, the sources said.""  ""Initially, the ministry didnt contact the police, despite the fact that the intrusion fell under the Unauthorized Access Prohibition Law,"" writes Softpedia's Eduard Kovacs. ""How"
United Kingdom,information telecom,101 to 1000,2016,integrity,alter behavior,,,,,hacking,dos,,nonstate,server,web application,,hours,,hours,,,Hackers claim to have shut down part of Scotland Yard's website for eight hours in revenge for dozens of arrests during an anti-capitalist march that ended in violence in central London
United States,healthcare,50001 to 100000,2014,integrity,software installation,unknown,pii,high,yes,hacking,exploit vuln,,state-affiliated,network,,4500000.0,,,,,,"In July 2014, Community Health Systems, Inc. (the Company) confirmed that its computer network was the target of an external, criminal cyber attack that the Company believes occurred in April and June, 2014. The Company and its forensic expert, Mandiant (a FireEye Company), believe the attacker was an Advanced Persistent Threat group originating from China who used highly sophisticated malware and technology to attack the Companys systems. The attacker was able to bypass the Companys security measures and successfully copy and transfer certain data outside the Company. Since first learning of this attack, the Company has worked closely with federal law enforcement authorities in connection with their investigation and possible prosecution of those determined to be responsible for this attack. The Company also engaged Mandiant, who has conducted a thorough investigation of this incident and is advising the Company regarding remediation efforts. Immediately prior to the filing of this Report, the Company completed eradication of the malware from its systems and finalized the implementation of other remediation efforts that are designed to protect against future intrusions of this type. The Company has been informed by federal authorities and Mandiant that this intruder has typically sought valuable intellectual property, such as medical device and equipment development data. However, in this instance the data transferred was non-medical patient identification data related to the Companys physician practice operations and affected approximately 4.5 million individuals who, in the last five years, were referred for or received services from physicians affiliated with the Company. The Company has confirmed that this data did not include patient credit card, medical or clinical information; the data is, however, considered protected under the Health Insurance Portability and Accountability Act (HIPAA) because it includes patient names, addresses, birthdates, telephone numbers and social security numbers. The Company is providing appropriate notification to affected patients and regulatory agencies as required by federal and state law. The Company will also be offering identity theft protection services to individuals affected by this attack. The Company carries cyber/privacy liability insurance to protect it against certain losses related to matters of this nature. While this matter may result in remediation expenses, regulatory inquiries, litigation and other liabilities, at this time, the Company does not believe this incident will have a material adverse effect on its business or financial results."
United States,,,2015,availability,interruption,,,,,hacking,dos,web application,nonstate,server,web application,,,,,None,,DDoS on online retailer
New Zealand,healthcare,,2013,confidentiality,data loss,unknown,phi,,yes,physical,snooping,victim work area,nonstate,server,database,,,,,,,"A breach of privacy by a patient in Hutt Hospital's emergency department has been referred to police.  Hutt Valley District Health Board chief executive Graham Dyer has confirmed that on September 8 a patient was able to view information about other patients on an unattended computer.  ""As soon as this issue was discovered, the four computer workstations in emergency department assessment rooms were disconnected to prevent further incidents,"" Dyer said.  All other computers in the emergency department are located in staff-only areas.  ""We're extremely disappointed that a patient who has come to our organisation seeking help for a medical condition has chosen to abuse the privacy of others.""  As well as contacting police, the DHB discussed the incident with the privacy commissioner. ""We take the privacy of our patients' information very seriously,"" Dyer said.  All patients whose information might have been viewed had been contacted and a ""full apology"" offered."
United States,finance and insurance,1001 to 10000,2008,integrity,alter behavior,stored,pii,,yes,misuse,privilege abuse,lan access,nonstate,server,database,1.0,,,,,,"Criminal group comprised of external ringleader, 2 internal actors, and an additional external conspirator steal identities of banking customers."
United States,healthcare,101 to 1000,2016,confidentiality,data loss,transmitted,pii,,yes,error,misdelivery,carelessness,nonstate,server,email,,,,,,, erroneously emailed to an unauthorized recipient 
United States,manufacturing,101 to 1000,2013,confidentiality,data loss,transmitted unencrypted,pii,,yes,misuse,possession abuse,physical access,nonstate,media,payment card,13.0,,,,,,"Clinton resident going to prison for ID theft Posted on May 6, 2013 Identity theft victims often lack the satisfaction of seeing the perpetrators of these crimes brought to justice, or even knowing who cheated them. But sometimes, justice is served. A Clinton woman has been sentenced to prison and ordered to pay restitution after pleading guilty to identity theft and other crimes, according to a release from Attorney General Jim Hood today.  The release lists the crimes of Emily Kristen McLellan-Bilbo, 25, of Clinton. On Friday, McLellan-Bilbo pleaded guilty to one count of felonious identity theft, one count of uttering counterfeit instruments and two counts of felonious use of a Social Security number or identifying information to obtain goods.  Hinds County Circuit Court Judge William A. Gowan sentenced Bilbo to serve 10 years for identity theft with five suspended and four years post release supervision. She was also ordered to pay $13,825.35 in restitution to the victims, $1,000 to the Victims Compensation Fund, and $2,000 for investigative costs. All costs must be paid during her four years post-release supervision. In addition, Bilbo received five years for each of the two counts of felonious use of a Social Security number and five years for uttering a counterfeit instrument. The sentences are to run concurrently.  At the time the crimes were committed, Bilbo worked as a receptionist at Audibel (a hearing aid company) in Jackson where she obtained credit card and other personal identifying information of customers. She then used the information to purchase more than $13,000 in goods, cash, and services.  The release noted that 13 victims of identity theft have been identified. The business owner told the court that he and his wife had been taken in by Bilbo and it had cost them and their family-run business dearly. Other victims of Bilbos crimes asked that Bilbo be sent to jail, that she be held accountable, and that she get some counseling.  I hope Judge Gowans tough sentence and order of restitution for these victims will send a message to others contemplating identity theft, Hood noted.  This case was investigated by Investigator Arthur Kendrick and Auditor Gilda Holbrook of the Attorney Generals Medicaid Fraud Control Unit and prosecuted by Special Assistant Attorney General Sue Perry.  Good work, Attorney General Hood and staff. Good work.  - See more at: http://web.archive.org/web/20130624002442/http://blogs.clarionledger.com/consumerwatch/2013/05/06/clinton-resident-going-to-prison-for-id-theft#sthash.HWt9rnmp.dpuf"
United States,government,101 to 1000,2018,integrity,fraudulent transaction,printed,pii,high,yes,misuse,privilege abuse,,nonstate,media,documents,1.0,,days,,,,The former director of the Susquehanna County Emergency Management Agency has been charged with identity theft. Robert Thatcher is alleged to have to have used the identity of a former employee to make online purchases with the invoices directed to his emergency management agency
United States,healthcare,11 to 100,2012,confidentiality,data loss,stored unencrypted,phi,,yes,misuse,possession abuse,physical access,nonstate,media,documents,1.0,,,,,,Clinic worker snooped on medical record of patient who was dating her ex-boyfriend.  Then sent text messages to the patient saying she would tell everyone that the patient had an STD.
United States,education,1001 to 10000,2019,confidentiality,data loss,transmitted unencrypted,pii,high,yes,error,misdelivery,carelessness,nonstate,user device,desktop or laptop,,,hours,,,,"Las Cruces Public Schools now confirms it accidentally sent out an email back in September containing the social security numbers of vendors the district uses.  That email was sent to about 150 district employees, officials said.  Vendors were advised to place a fraud alert on their credit files as a precaution. Those vendors also were told by LCPS to check their credit reports and financial history for any signs of identity theft.  The district said the email was quickly discovered and steps were taken within hours to contain it."
United States,government,over 100000,2013,availability,loss,unknown,,,,hacking,,,state-affiliated,network,,,,,,,,Hackers backed by Iran have penetrated an unclassified U.S. Navy network
United States,government,,2009,confidentiality,data loss,stored,phi,,yes,misuse,knowledge abuse,physical access,nonstate,people,,1.0,,,,,,EMT takes topless photos of unconscious woman in an ambulance and posts them to social media.
United States,government,11 to 100,2010,confidentiality,data loss,stored unencrypted,pii,,yes,error,,,nonstate,media,disk media,18500.0,,,,None,None,Confidential information on CD erroneously provided to lawyer.
United Kingdom,retail trade,,2013,integrity,repurpose,stored unencrypted,pii,,yes,hacking,sqli,web application,nonstate,server,web application,1.0,,,,,,Website of UK company that sells used military vehicles compromised via SQL injection and sensitive data posted to public site.
Gabon,information telecom,,2013,confidentiality,data loss,unknown,pii,,yes,hacking,use of stolen creds,web application,nonstate,server,web application,171.0,,hours,,,,"some anon group (OpGabon) hacked a media site, grabing 171 personal information about users and 1 sys admin credential"
United States,transportation,1001 to 10000,2016,confidentiality,data loss,stored,ip,high,yes,misuse,privilege abuse,lan access,nonstate,server,database,,,,,,minutes,"Roehl Transport civil suit alleges ex-fleet manager stole company data, secrets"
United States,mining,101 to 1000,2014,availability,destruction,,,,,misuse,privilege abuse,physical access,nonstate,server,,,months,minutes,,,,"In June 2012, Ricky Joe Mitchell found out he was going to be fired from EnerVest and in response he decided to reset the company's servers to their original factory settings. He also disabled cooling equipment for EnerVest's systems and disabled a data-replication process."
United States,healthcare,1 to 10,2016,integrity,modify data,stored unencrypted,pii,high,yes,malware,ransomware,,nonstate,server,database,,,,,,,"Sequin Dermatology, a solo practice in Sequin, Texas, fell victim to a ransomware attack in mid-September after its server was encrypted."
United States,government,1001 to 10000,2016,confidentiality,data loss,unknown,pii,low,yes,misuse,data mishandling,remote access,nonstate,media,documents,3.0,,,,,,"girlfriend typed up homicide reports for him, but then posted the confidential material online after learning he was married"
Brazil,information telecom,,2012,confidentiality,data loss,stored unencrypted,pii,,yes,hacking,,web application,nonstate,server,web application,5000.0,,,,,,5k emails and passwords dumped to pastebin from gaming site.
United States,healthcare,11 to 100,2017,integrity,software installation,,,medium,no,malware,ransomware,,nonstate,server,database,,,,,,,Ransomware infection
United States,education,1001 to 10000,2019,availability,loss,stored unencrypted,pii,high,potentially,physical,theft,,nonstate,user device,laptop,900.0,,,,,,Laptop is stolen.
Belgium,information telecom,,2012,confidentiality,data loss,stored unencrypted,,,unknown,hacking,,web application,nonstate,server,database,,,,,,,Rex Mundi attempts to extort from web hosting provider who was breached by the hacking group. According to the group they compromised data from over 300 customers of hosting provider.
,healthcare,,2013,confidentiality,data loss,unknown,pii,,yes,misuse,,,nonstate,,,,,,,,,some employee stole some identities from health care employer
United States,government,10001 to 25000,2015,confidentiality,data loss,stored unencrypted,phi,,yes,error,publishing error,carelessness,nonstate,server,web application,6600.0,,,hours,None,None,Publishing error leads to 6600 records being available to the Internet.
Argentina,government,,2013,integrity,repurpose,stored unencrypted,pii,,yes,hacking,sqli,,nonstate,server,web application,5900.0,,hours,,hours,,"Multiple external ""concerned citizens"" were able to download data (photos of voters) from the voter registration site. "
Canada,government,1001 to 10000,2016,confidentiality,data loss,unknown,pii,low,potentially,misuse,,,nonstate,,,,,,,,, potential privacy breach of client data
United States,information telecom,101 to 1000,2014,availability,loss,stored unencrypted,pii,,yes,physical,theft,partner facility,nonstate,media,documents,,,,,,,The Honolulu Star-advertiser's  storage unit was burglarized and at least one banker box was taken.  The box contained account information for hundreds of customers.
,government,,2013,integrity,software installation,,ip,high,yes,hacking,use of backdoor or c2,backdoor or c2,state-affiliated,user device,desktop,,,,,,,Incident associated with Miniduke campaign.
United Kingdom,,,2015,integrity,hardware tampering,unknown,pii,,yes,physical,tampering,victim grounds,nonstate,terminal,atm,1.0,,hours,,,seconds,ATM Overlay that actually captured physical card was installed then retrieved
Argentina,,,2014,availability,loss,,,,,error,loss,,nonstate,,,,,,,,,"Storage and information management firm Iron Mountain has lost one of its main data centers today, according to the Associated Press. Although its unclear how the fire started, it spread quickly and took hours to control. Nine first-responders were killed during the blaze, while two are missing, and seven others are reported injured. By the time the fire was put out, the building appeared to be ruined according to news reports."
Canada,education,1001 to 10000,2014,integrity,software installation,processed,,,,malware,spyware/keylogger,direct install,nonstate,user device,desktop,,,months,,,,"For nearly six months, an array of machines at a computer lab was infected with keystroke logging software. The program recorded every single key entered into the computer between September 2013 and March 2014. My understanding was that the individual charged was a student at the college, said NRP media officer Derek Watson. The malicious software was installed across 10 computers at the campus, but neither the NRP or the college has a clear understanding of how many users logged into the machines and had their information stolen during the six-month period of infection."
United States,information telecom,,2013,integrity,modify data,,,,,hacking,,web application,nonstate,server,web application,,,,,,,"App Developer Magazine hacked The website of App Developer Magazine (appdevelopermagazine.com), the US-based monthly publication dedicated to app developers and app entrepreneurs, has been hacked. The attack has been spotted by experts from IT security firm Bitdefender."
United States,finance and insurance,101 to 1000,2016,integrity,software installation,stored,phi,high,potentially,malware,ransomware,,nonstate,server,,,,months,,,,"On August 8, 2016, Summit discovered that ransomware had infected a server containing certain personal information. "
Australia,government,,2018,availability,loss,printed,phi,high,yes,error,loss,carelessness,nonstate,media,documents,400.0,,,,,,"More than 1,000 confidential medical records have been left on the floor at a derelict former aged care facility operated by the New South Wales Government."
United States,information telecom,,2017,confidentiality,data loss,,pii,low,potentially,error,publishing error,random error,nonstate,server,web application,,,days,,,,"search engine Ask.com was plagued by a technical issue that resulted in the search queries of its users being publicly viewable online for anyone to see.  The log of user actions was available on the Ask.com server status page, which displayed a rolling log of every request sent to the site—including individual search queries."
"Korea, Republic of","professional, scientific, and technical services",,2013,integrity,software installation,,ip,high,yes,hacking,use of backdoor or c2,backdoor or c2,state-affiliated,people,,,,,,,,"Incident associated with Kimsuky campaign. Strongly-suspected KP state-affiliated actors spearphish target. Desktop infected with c2, spyware, etc to harvest/export data."
"Korea, Republic of",military,over 100000,2019,confidentiality,data loss,,pii,medium,yes,hacking,,,nonstate,server,,1000000.0,,,,,,"SEOUL, South Korea — American troops may have been among the victims of hackers who stole information from more than 1 million U.S. and South Korean credit cards and listed it for sale on the dark web over the past three months, the military said.  The thefts targeted unspecified business and financial entities in South Korea and included information on at least 38,000 U.S.-issued payment cards, according to an alert distributed by the Eighth Army via its Facebook page on Monday.  An unnamed credit union that provides services at U.S. Air Force bases in South Korea was among the potentially compromised organizations, it said.  Citing the large number of U.S.-issued payment cards involved and the significant presence of American troops in South Korea, the Major Cybercrime Unit-Korea said it could “assess with medium confidence that the purchase cards of U.S. service members may have been included in this compromise.”  The stolen information was listed on the dark web since the end of May, according to the notice, which was based on information from the Korea Office of the Major Cybercrime Unit, U.S. Army Criminal Investigation Command.  The notice advised people worried that their credit card information was stolen to place a “fraud alert” on their credit reports and to monitor their accounts for signs of identity theft."
United States,military,over 100000,2016,confidentiality,data loss,stored unencrypted,pii,,yes,misuse,possession abuse,physical access,nonstate,media,documents,2.0,,,,,,Identity theft by a Navy Chief
United States,finance and insurance,101 to 1000,2013,confidentiality,data loss,unknown,pii,,yes,error,carelessness,,nonstate,user device,peripheral,1.0,,hours,,None,None,Internal employee accidentally faxed sensitive personal information to the wrong number/recipient.
